submission_id,question_id,answer
1,10,Yes
1,11,Yes
1,12,Yes
1,13,Yes
1,14,No
1,15,Yes
1,16,No
1,17,Yes
1,18,3
1,19,New crew member trained on register today.
2,1,Yes
2,2,Yes
2,3,Yes
2,4,Yes
2,5,Yes
2,6,No
2,7,Yes
2,8,Yes
2,9,3
3,10,No
3,11,Yes
3,12,Yes
3,13,Yes
3,14,Yes
3,15,No
3,16,Yes
3,17,No
3,18,4
3,19,"Minor spill in dining area, cleaned promptly."
4,1,No
4,2,Yes
4,3,Yes
4,4,Yes
4,5,Yes
4,6,Yes
4,7,Yes
4,8,No
4,9,5
5,10,Yes
5,11,Yes
5,12,Yes
5,13,Yes
5,14,Yes
5,15,Yes
5,16,No
5,17,No
5,18,4
5,19,Slight delay in closing due to late customers.
6,1,Yes
6,2,Yes
6,3,Yes
6,4,Yes
6,5,Yes
6,6,Yes
6,7,No
6,8,Yes
6,9,4
7,10,Yes
7,11,Yes
7,12,Yes
7,13,Yes
7,14,Yes
7,15,Yes
7,16,Yes
7,17,Yes
7,18,3
7,19,New crew member trained on register today.
8,1,Yes
8,2,Yes
8,3,Yes
8,4,No
8,5,Yes
8,6,Yes
8,7,Yes
8,8,No
8,9,4
9,10,Yes
9,11,Yes
9,12,Yes
9,13,Yes
9,14,Yes
9,15,Yes
9,16,Yes
9,17,Yes
9,18,2
9,19,"Busy night, all tasks completed on time."
10,1,No
10,2,Yes
10,3,Yes
10,4,No
10,5,Yes
10,6,Yes
10,7,Yes
10,8,No
10,9,4
11,10,Yes
11,11,Yes
11,12,Yes
11,13,Yes
11,14,Yes
11,15,Yes
11,16,Yes
11,17,Yes
11,18,4
11,19,"Minor spill in dining area, cleaned promptly."
12,1,Yes
12,2,Yes
12,3,Yes
12,4,No
12,5,Yes
12,6,Yes
12,7,No
12,8,Yes
12,9,5
13,10,Yes
13,11,Yes
13,12,Yes
13,13,Yes
13,14,Yes
13,15,Yes
13,16,Yes
13,17,No
13,18,5
13,19,"Busy night, all tasks completed on time."
14,1,Yes
14,2,Yes
14,3,Yes
14,4,No
14,5,Yes
14,6,Yes
14,7,Yes
14,8,Yes
14,9,3
15,10,Yes
15,11,Yes
15,12,Yes
15,13,Yes
15,14,Yes
15,15,No
15,16,Yes
15,17,Yes
15,18,4
15,19,"Quiet evening, no issues."
16,1,Yes
16,2,Yes
16,3,Yes
16,4,Yes
16,5,Yes
16,6,Yes
16,7,Yes
16,8,Yes
16,9,3
17,10,Yes
17,11,Yes
17,12,Yes
17,13,Yes
17,14,No
17,15,Yes
17,16,Yes
17,17,Yes
17,18,4
17,19,Slight delay in closing due to late customers.
18,1,Yes
18,2,Yes
18,3,Yes
18,4,Yes
18,5,Yes
18,6,Yes
18,7,Yes
18,8,Yes
18,9,4
19,10,Yes
19,11,Yes
19,12,Yes
19,13,Yes
19,14,Yes
19,15,Yes
19,16,No
19,17,Yes
19,18,4
19,19,"Low stock on napkins, requested restock."
20,1,Yes
20,2,Yes
20,3,Yes
20,4,Yes
20,5,Yes
20,6,Yes
20,7,Yes
20,8,Yes
20,9,4
21,10,Yes
21,11,No
21,12,Yes
21,13,Yes
21,14,Yes
21,15,Yes
21,16,Yes
21,17,Yes
21,18,5
21,19,Everything in order for tomorrow's opening.
22,1,Yes
22,2,Yes
22,3,Yes
22,4,Yes
22,5,Yes
22,6,Yes
22,7,Yes
22,8,Yes
22,9,5
23,10,Yes
23,11,Yes
23,12,Yes
23,13,Yes
23,14,Yes
23,15,No
23,16,Yes
23,17,No
23,18,5
23,19,"Quiet evening, no issues."
24,1,Yes
24,2,No
24,3,No
24,4,Yes
24,5,Yes
24,6,Yes
24,7,Yes
24,8,Yes
24,9,3
25,10,Yes
25,11,No
25,12,No
25,13,Yes
25,14,Yes
25,15,Yes
25,16,Yes
25,17,Yes
25,18,2
25,19,All checks completed as normal.
26,1,Yes
26,2,Yes
26,3,No
26,4,No
26,5,Yes
26,6,Yes
26,7,Yes
26,8,Yes
26,9,4
27,10,Yes
27,11,Yes
27,12,Yes
27,13,Yes
27,14,Yes
27,15,Yes
27,16,Yes
27,17,Yes
27,18,5
27,19,Slight delay in closing due to late customers.
28,1,Yes
28,2,Yes
28,3,Yes
28,4,No
28,5,No
28,6,No
28,7,No
28,8,Yes
28,9,5
29,10,Yes
29,11,No
29,12,Yes
29,13,Yes
29,14,Yes
29,15,Yes
29,16,Yes
29,17,Yes
29,18,4
29,19,"Quiet evening, no issues."
30,1,Yes
30,2,Yes
30,3,Yes
30,4,Yes
30,5,No
30,6,No
30,7,Yes
30,8,No
30,9,4
31,10,Yes
31,11,Yes
31,12,Yes
31,13,Yes
31,14,Yes
31,15,Yes
31,16,Yes
31,17,Yes
31,18,4
31,19,"Busy night, all tasks completed on time."
32,1,Yes
32,2,Yes
32,3,No
32,4,Yes
32,5,Yes
32,6,No
32,7,Yes
32,8,Yes
32,9,4
33,10,Yes
33,11,Yes
33,12,Yes
33,13,Yes
33,14,Yes
33,15,Yes
33,16,Yes
33,17,Yes
33,18,5
33,19,Everything in order for tomorrow's opening.
34,1,Yes
34,2,Yes
34,3,Yes
34,4,Yes
34,5,Yes
34,6,No
34,7,Yes
34,8,Yes
34,9,4
35,10,Yes
35,11,Yes
35,12,Yes
35,13,No
35,14,Yes
35,15,No
35,16,Yes
35,17,Yes
35,18,4
35,19,New crew member trained on register today.
36,1,Yes
36,2,Yes
36,3,Yes
36,4,Yes
36,5,Yes
36,6,Yes
36,7,Yes
36,8,No
36,9,4
37,10,No
37,11,Yes
37,12,Yes
37,13,Yes
37,14,Yes
37,15,No
37,16,Yes
37,17,Yes
37,18,3
37,19,"Quiet evening, no issues."
38,1,Yes
38,2,No
38,3,Yes
38,4,Yes
38,5,No
38,6,No
38,7,Yes
38,8,Yes
38,9,4
39,10,Yes
39,11,Yes
39,12,Yes
39,13,Yes
39,14,Yes
39,15,No
39,16,Yes
39,17,Yes
39,18,5
39,19,New crew member trained on register today.
40,1,Yes
40,2,No
40,3,Yes
40,4,No
40,5,No
40,6,No
40,7,Yes
40,8,Yes
40,9,4
41,10,Yes
41,11,Yes
41,12,Yes
41,13,Yes
41,14,Yes
41,15,Yes
41,16,No
41,17,Yes
41,18,4
41,19,"Minor spill in dining area, cleaned promptly."
42,1,Yes
42,2,Yes
42,3,Yes
42,4,Yes
42,5,Yes
42,6,Yes
42,7,Yes
42,8,Yes
42,9,4
43,10,No
43,11,Yes
43,12,Yes
43,13,Yes
43,14,Yes
43,15,Yes
43,16,Yes
43,17,Yes
43,18,2
43,19,"Busy night, all tasks completed on time."
44,1,No
44,2,Yes
44,3,Yes
44,4,Yes
44,5,Yes
44,6,Yes
44,7,Yes
44,8,Yes
44,9,4
45,10,Yes
45,11,Yes
45,12,Yes
45,13,Yes
45,14,Yes
45,15,Yes
45,16,Yes
45,17,Yes
45,18,5
45,19,New crew member trained on register today.
46,10,Yes
46,11,Yes
46,12,Yes
46,13,Yes
46,14,Yes
46,15,Yes
46,16,Yes
46,17,Yes
46,18,4
46,19,"Minor spill in dining area, cleaned promptly."
47,1,Yes
47,2,Yes
47,3,Yes
47,4,Yes
47,5,Yes
47,6,Yes
47,7,Yes
47,8,Yes
47,9,4
48,10,Yes
48,11,Yes
48,12,Yes
48,13,Yes
48,14,Yes
48,15,Yes
48,16,No
48,17,Yes
48,18,3
48,19,All checks completed as normal.
49,1,Yes
49,2,Yes
49,3,Yes
49,4,Yes
49,5,Yes
49,6,Yes
49,7,Yes
49,8,No
49,9,5
50,10,Yes
50,11,No
50,12,Yes
50,13,Yes
50,14,Yes
50,15,Yes
50,16,Yes
50,17,Yes
50,18,5
50,19,"Busy night, all tasks completed on time."
51,1,Yes
51,2,Yes
51,3,Yes
51,4,Yes
51,5,Yes
51,6,Yes
51,7,Yes
51,8,Yes
51,9,4
52,1,Yes
52,2,Yes
52,3,Yes
52,4,No
52,5,No
52,6,Yes
52,7,Yes
52,8,No
52,9,3
53,10,Yes
53,11,Yes
53,12,Yes
53,13,Yes
53,14,Yes
53,15,Yes
53,16,Yes
53,17,No
53,18,4
53,19,"Low stock on napkins, requested restock."
54,1,No
54,2,No
54,3,Yes
54,4,Yes
54,5,Yes
54,6,Yes
54,7,Yes
54,8,No
54,9,3
55,10,Yes
55,11,No
55,12,Yes
55,13,Yes
55,14,No
55,15,Yes
55,16,Yes
55,17,Yes
55,18,4
55,19,"Quiet evening, no issues."
