outlet_id,outlet_name,city,state
1,Mumbai - Andheri,Mumbai,Maharashtra
2,Bangalore - Koramangala,Bangalore,Karnataka
3,Delhi - Connaught Place,Delhi,Delhi
4,Pune - Kothrud,Pune,Maharashtra
5,Hyderabad - Banjara Hills,Hyderabad,Telangana
6,Chennai - T Nagar,Chennai,Tamil Nadu
7,Kolkata - Park Street,Kolkata,West Bengal
8,Ahmedabad - SG Highway,Ahmedabad,Gujarat
9,Jaipur - MI Road,Jaipur,Rajasthan
10,Chandigarh - Sector 17,Chandigarh,Chandigarh
11,Lucknow - Hazratganj,Lucknow,Uttar Pradesh
12,Indore - Vijay Nagar,Indore,Madhya Pradesh
13,Kochi - MG Road,Kochi,Kerala
14,Nagpur - Civil Lines,Nagpur,Maharashtra
15,Surat - Vesu,Surat,Gujarat
16,Bhopal - MP Nagar,Bhopal,Madhya Pradesh
17,Coimbatore - RS Puram,Coimbatore,Tamil Nadu
18,Vadodara - Alkapuri,Vadodara,Gujarat
19,Nashik - College Road,Nashik,Maharashtra
20,Gurgaon - Cyber Hub,Gurgaon,Haryana
